,stature,weightkg,chestcircumference,waistcircumference
1508,1613,698,956,940
1512,1641,744,1032,991
1514,1596,621,892,807
1516,1555,639,978,849
1517,1497,579,915,858
1518,1612,708,973,889
1521,1509,542,900,820
1525,1475,480,825,740
1526,1633,557,951,808
1527,1631,724,976,967
1528,1626,661,945,909
1531,1752,785,946,948
1532,1618,676,976,848
1533,1634,530,887,721
1536,1629,601,900,731
1539,1547,578,880,780
1543,1623,607,895,753
1545,1676,601,870,774
1546,1560,516,825,679
1549,1536,566,904,814
1551,1595,576,908,783
1552,1659,807,1005,860
1556,1573,572,975,923
1561,1713,520,766,657
1564,1540,612,834,819
1565,1541,585,936,805
1566,1622,875,1052,1010
1567,1793,773,1015,905
1572,1494,580,963,1003
1575,1585,673,983,902
1583,1664,826,1100,957
1584,1522,578,873,868
1586,1557,758,1019,966
1591,1567,567,916,745
1593,1573,640,987,860
1594,1637,683,942,797
1596,1740,632,881,730
1600,1564,658,931,853
1602,1586,551,830,726
1603,1566,593,883,795
1611,1711,1166,1266,1305
1615,1479,358,695,615
1618,1592,649,984,911
1623,1666,650,935,732
1626,1629,548,850,715
1627,1637,705,926,878
1629,1676,763,967,903
1630,1672,784,1026,870
1636,1537,772,976,972
1637,1663,657,899,793
1638,1582,537,888,798
1639,1499,667,1010,955
1641,1545,599,967,855
1642,1603,649,975,914
1643,1580,788,1066,938
1644,1608,752,1062,960
1645,1561,643,941,900
1646,1642,613,880,780
1647,1600,847,1027,935
1655,1496,509,826,768
1657,1769,889,1047,965
1665,1668,611,961,757
1674,1571,532,910,784
1688,1683,870,1094,1067
1700,1603,675,1060,960
1717,1501,575,941,840
1718,1632,568,884,787
1728,1611,504,793,720
1762,1688,646,930,840
1771,1728,682,920,812
1777,1661,781,999,875
1778,1549,675,966,835
1793,1561,557,857,686
1797,1697,894,1083,1034
1803,1483,442,780,647
1804,1587,476,802,678
1806,1659,737,940,850
1807,1684,776,972,851
1808,1593,620,900,770
1829,1573,624,901,826
1834,1718,795,976,895
1835,1519,600,885,805
1838,1529,475,820,696
1845,1644,523,852,706
1852,1628,701,934,933
1854,1595,660,957,883
1857,1628,510,780,672
1867,1698,727,944,866
1868,1545,583,970,777
1875,1524,452,826,674
1878,1583,588,906,749
1880,1569,702,1016,895
1882,1463,626,998,902
1887,1565,552,896,783
1888,1525,622,962,827
1889,1613,612,863,860
1892,1558,582,898,815
1895,1611,716,992,1004
1925,1645,707,1035,872
1940,1701,1047,1168,1172
1942,1634,766,1154,962
1945,1587,665,952,955
1946,1549,676,991,1032
1947,1606,792,1091,1042
1948,1508,652,1005,966
1950,1560,517,886,752
1951,1739,865,1060,954
1957,1809,898,1113,1003
1958,1764,970,1090,977
1959,1606,663,940,855
1960,1567,594,952,863
1961,1594,657,1059,917
1964,1624,641,920,792
1966,1580,740,1021,906
1969,1615,714,1089,965
1971,1561,668,1042,903
1972,1674,678,925,817
1976,1583,652,1047,941
1980,1719,768,990,960
1981,1687,832,1082,1043
1982,1613,717,1016,971
1984,1616,632,922,837
1985,1641,610,902,891
