,stature,weightkg,chestcircumference,waistcircumference,size,color,nearest
45,1552,745,1137,932,xxl,5.0,299.54799281584246
46,1530,677,1004,896,xl,4.0,228.97379762758882
47,1606,508,844,738,medium,1.0,120.83045973594572
48,1617,633,950,832,large,3.0,217.20497231877542
49,1572,616,962,853,large,3.0,180.94197965093673
50,1662,507,828,737,medium,1.0,171.73526137634053
51,1690,810,983,1044,xl,4.0,407.0626487409524
52,1698,649,895,817,large,3.0,280.72228269234347
53,1666,805,1012,939,xl,4.0,391.89411835341446
54,1595,673,977,915,xl,4.0,242.39224410034245
55,1661,748,1002,879,xl,4.0,338.71079108879894
56,1533,499,844,748,medium,1.0,59.07622195096772
57,1653,676,918,803,large,3.0,272.91940202191563
58,1658,666,971,810,xl,4.0,267.6191323504357
59,1539,643,990,923,xl,4.0,196.9009903479411
60,1617,694,993,924,xl,4.0,270.60118255469615
61,1632,540,818,708,medium,1.0,159.76232346833217
62,1682,681,916,830,large,3.0,294.0833215264001
63,1672,672,881,883,large,3.0,280.8344708186657
64,1623,566,854,767,medium,1.0,169.07099100673656
65,1633,585,887,868,large,3.0,189.50989420080418
66,1526,628,1005,938,xl,4.0,179.88885457415086
67,1570,467,825,682,medium,1.0,72.03471385380801
68,1637,813,1026,1060,xl,4.0,387.9922679641954
69,1718,719,979,922,xl,4.0,346.2441335243097
70,1520,485,844,707,medium,1.0,40.311288741492746
71,1642,636,938,929,large,3.0,234.00854685246006
72,1558,727,1086,1004,xxl,5.0,283.0070670495703
73,1658,725,964,906,large,3.0,317.15768948584554
74,1661,561,862,738,large,3.0,195.5556186868585
75,1498,664,988,922,xl,4.0,214.00934559032697
76,1565,640,935,835,large,3.0,200.81085628023203
77,1570,502,836,671,medium,1.0,87.20091742636656
78,1556,597,949,769,large,3.0,157.30543537970962
79,1681,631,915,758,large,3.0,255.9726547895302
80,1649,596,890,805,large,3.0,208.60728654579637
81,1627,613,923,688,medium,1.0,206.63494380186523
82,1576,842,1196,1111,xxxl,6.0,399.2993864257745
83,1754,896,1052,969,xl,4.0,513.2562712719641
84,1709,842,1014,942,xl,4.0,444.2352980122133
85,1587,596,896,887,large,3.0,169.95587662684687
86,1600,699,976,880,xl,4.0,268.33002068348594
87,1535,701,986,829,xl,4.0,253.4284909002932
88,1583,789,1004,973,xl,4.0,349.0128937446294
89,1608,592,896,845,large,3.0,178.4040358287895
90,1663,583,861,828,large,3.0,210.3758541277967
91,1609,746,951,1020,large,3.0,315.4314505562183
92,1704,853,1034,1007,xl,4.0,451.6912662427734
93,1506,577,955,804,large,3.0,127.1416532848303
94,1583,565,867,811,large,3.0,141.8238343861849
95,1640,641,946,849,large,3.0,236.81427321848656
96,1562,561,918,799,large,3.0,127.1416532848303
97,1608,662,1058,884,xl,4.0,237.92435772740882
98,1590,564,859,785,medium,1.0,145.24462124292245
99,1575,653,980,870,xl,4.0,216.41164478835236
100,1616,632,959,855,large,3.0,215.82400237230334
101,1646,697,988,869,xl,4.0,286.9233347080715
102,1617,570,827,722,medium,1.0,167.59773268156107
103,1527,742,1089,1034,xxl,5.0,293.24563082849164
104,1672,815,1131,954,xxl,5.0,403.49597271843993
105,1643,735,960,912,large,3.0,318.86360720533787
106,1583,659,1023,935,xl,4.0,224.8777445635739
107,1656,654,950,806,large,3.0,256.81121470839236
108,1631,856,1159,1044,xxl,5.0,426.61106408530947
109,1599,771,1122,938,xxl,5.0,335.91963324581076
110,1626,724,1086,856,xl,4.0,301.582492860577
111,1536,617,968,868,large,3.0,170.83617883809038
112,1708,799,1028,970,xl,4.0,406.2819218227658
113,1580,508,836,705,medium,1.0,98.812954616285
114,1525,558,852,865,medium,1.0,110.85576214162258
115,1650,983,1142,1154,xxl,5.0,553.7047949945892
116,1537,535,870,814,large,3.0,92.70382947861431
117,1584,722,1025,898,xl,4.0,284.67525357852935
118,1500,644,1027,907,xl,4.0,194.0
119,1727,847,1095,1029,xxl,5.0,457.3160832509611
120,1519,552,981,848,xl,4.0,103.75451797391764
121,1700,832,1113,955,xxl,5.0,431.18905366439907
122,1628,694,860,807,medium,1.0,275.5358415887124
123,1583,678,925,900,large,3.0,242.6375898330677
124,1697,618,873,720,large,3.0,258.90731932488893
125,1522,555,891,885,large,3.0,107.28000745712129
126,1651,779,997,816,xl,4.0,361.9972375585206
127,1608,785,1008,965,xl,4.0,351.9786925369205
128,1568,658,930,890,large,3.0,218.8332698654389
129,1646,629,882,874,large,3.0,230.99134182908242
130,1623,709,967,865,large,3.0,286.7228627089232
131,1518,509,841,752,medium,1.0,61.68468205316454
132,1525,623,1008,877,xl,4.0,174.79702514631077
133,1601,671,983,903,xl,4.0,242.98559628093184
134,1585,504,810,759,medium,1.0,100.70253224224304
135,1547,530,897,770,large,3.0,92.78469701410896
136,1583,659,913,906,large,3.0,224.8777445635739
137,1619,593,920,811,large,3.0,186.03763060198332
138,1704,695,902,888,large,3.0,318.8118567431268
139,1663,837,1000,888,xl,4.0,419.92618398951976
140,1643,748,1016,950,xl,4.0,330.53441575727027
141,1525,563,883,812,large,3.0,115.73245007343446
142,1543,669,968,975,large,3.0,223.1815404552984
143,1562,597,923,853,large,3.0,159.5399636454766
144,1627,720,897,885,large,3.0,298.37727795527593
145,1592,603,904,770,large,3.0,178.53010950537168
146,1620,573,878,849,large,3.0,171.84004189943624
147,1661,603,876,749,large,3.0,222.10357943986403
148,1505,518,850,752,medium,1.0,68.18357573492314
149,1613,690,1004,906,xl,4.0,265.27155897306443
150,1666,680,905,870,large,3.0,283.6476687723698
151,1565,609,918,860,large,3.0,171.77310616042314
152,1552,431,825,658,small,2.0,55.362442142665635
153,1559,746,985,873,xl,4.0,301.822795693102
154,1595,712,998,1033,xl,4.0,278.69158580768095
155,1525,523,838,736,medium,1.0,77.1621668954417
156,1555,547,885,807,large,3.0,111.50784725749125
157,1631,604,833,750,medium,1.0,202.18061232472317
158,1563,669,919,881,large,3.0,227.8815481779953
159,1462,519,845,829,medium,1.0,78.77182237323191
160,1599,640,930,943,large,3.0,214.24518664371436
161,1634,598,908,796,large,3.0,199.64969321288726
162,1604,595,773,767,medium,1.0,178.44046626256053
163,1638,630,839,825,medium,1.0,226.8126980572296
164,1676,606,803,734,medium,1.0,235.1850335374256
165,1675,654,914,813,large,3.0,268.7768591229535
166,1679,731,1006,955,xl,4.0,333.16962646675944
167,1533,598,909,827,large,3.0,151.63442880823604
168,1496,488,786,697,medium,1.0,38.2099463490856
169,1690,649,892,802,large,3.0,275.138147118861
170,1541,478,812,706,medium,1.0,49.64876634922564
171,1565,512,784,755,medium,1.0,89.8276126811795
172,1530,496,804,765,medium,1.0,54.91812087098393
173,1615,680,927,868,large,3.0,257.14781741247583
174,1679,591,846,785,medium,1.0,227.86399452304877
175,1662,712,909,864,large,3.0,308.0389585750478
176,1495,487,814,726,medium,1.0,37.33630940518894
177,1566,567,894,888,large,3.0,134.33167906342868
178,1604,542,787,739,medium,1.0,138.85243966167826
179,1627,672,989,880,xl,4.0,255.75965279926388
180,1602,585,883,803,large,3.0,169.2010638264429
181,1615,605,930,787,large,3.0,193.00259065618783
182,1680,725,958,857,large,3.0,328.6715685908959
183,1529,501,802,700,medium,1.0,58.66856057549052
184,1709,787,942,832,large,3.0,396.547601177967
185,1589,572,947,818,large,3.0,151.0132444522665
186,1623,782,958,900,large,3.0,354.05225603009507
187,1686,611,880,791,large,3.0,246.00203251192866
188,1587,631,1011,895,xl,4.0,200.8233054204616
189,1546,540,803,710,medium,1.0,101.07423014794622
190,1519,577,848,812,medium,1.0,128.41339493993607
191,1602,844,1073,976,xxl,5.0,406.9889433387595
192,1607,749,1057,927,xl,4.0,317.56889016400834
193,1582,827,1043,1032,xl,4.0,385.8147223733174
194,1724,785,1036,925,xl,4.0,402.9900743194552
195,1657,669,965,833,large,3.0,269.462427807663
196,1606,637,953,875,large,3.0,214.9534833400008
197,1644,700,975,906,xl,4.0,288.5064990602465
198,1657,618,883,791,large,3.0,229.94129685639334
199,1680,684,927,800,large,3.0,295.22195040342103
200,1606,632,910,807,large,3.0,210.61813787041228
201,1603,616,898,839,large,3.0,195.35864454894235
202,1435,478,860,760,medium,1.0,70.77428911688199
203,1676,686,1017,887,xl,4.0,294.40108695451516
204,1673,631,865,791,large,3.0,250.3797116381437
205,1662,729,950,846,large,3.0,322.62206992082855
206,1576,548,906,762,large,3.0,124.01612798341996
207,1620,580,815,793,medium,1.0,176.91806012954132
208,1714,849,956,916,large,3.0,452.76594394896796
209,1590,609,855,778,medium,1.0,182.70467974302136
210,1769,832,946,897,large,3.0,467.20980297934676
211,1533,695,973,935,xl,4.0,247.212459232944
212,1592,609,848,828,medium,1.0,183.69812192834198
213,1609,650,903,841,large,3.0,227.7740108089595
214,1574,701,902,827,large,3.0,261.6811036357039
215,1617,689,930,887,large,3.0,266.101484400219
216,1679,736,931,917,large,3.0,337.3973918097175
217,1700,564,826,739,medium,1.0,230.20860105565126
218,1623,566,847,779,medium,1.0,169.07099100673656
219,1598,660,920,860,large,3.0,231.7412350014559
220,1685,776,1025,908,xl,4.0,374.834630203774
221,1674,675,945,904,large,3.0,284.43101096751036
222,1563,744,998,1046,xl,4.0,300.6742423288034
223,1439,585,982,824,xl,4.0,148.14182393908885
224,1718,810,1018,955,xl,4.0,420.8610221914118
225,1589,511,796,717,medium,1.0,107.89810007595129
226,1552,591,884,829,large,3.0,150.28306624500314
227,1523,636,1073,999,xxl,5.0,187.41664813991312
228,1612,715,1012,941,xl,4.0,287.69602013236124
229,1600,540,877,752,large,3.0,134.5362404707371
230,1409,426,824,716,medium,1.0,94.11163583744573
231,1688,740,983,852,xl,4.0,345.60671289776764
232,1658,852,1029,1047,xl,4.0,431.93518032223307
233,1523,480,843,743,medium,1.0,37.8021163428716
234,1685,830,1096,910,xxl,5.0,422.6405091800832
235,1732,678,899,795,large,3.0,325.28141662259156
236,1529,517,847,815,medium,1.0,73.00684899377592
237,1556,613,897,927,large,3.0,172.35138525698017
238,1464,426,737,673,medium,1.0,43.266615305567875
239,1575,625,917,834,large,3.0,190.3943276465977
240,1513,768,1052,1065,xl,4.0,318.2656123428983
241,1649,639,861,828,large,3.0,240.66989840858787
242,1684,633,857,831,medium,1.0,259.50915205441214
243,1550,526,885,822,large,3.0,90.97252332435328
244,1627,622,882,765,large,3.0,213.80598681982693
245,1599,641,930,880,large,3.0,215.13251730038394
246,1629,490,792,762,medium,1.0,135.05924625881784
247,1547,693,972,914,xl,4.0,247.50353532828578
248,1604,570,863,812,large,3.0,158.79546593023366
249,1631,660,939,865,large,3.0,247.50959577357804
250,1670,659,947,827,large,3.0,269.40861159213154
251,1567,659,953,875,large,3.0,219.4766502386985
252,1720,644,904,790,large,3.0,293.318939040765
253,1639,689,900,875,large,3.0,276.4814641164937
254,1682,949,1147,1139,xxl,5.0,531.1544031635245
255,1720,630,874,792,large,3.0,284.2534080710379
256,1641,639,893,881,large,3.0,235.80076335754302
257,1647,874,1033,1069,xl,4.0,448.7594010157336
258,1644,821,1110,1042,xxl,5.0,397.96607895648594
259,1617,697,1035,838,xl,4.0,273.3093485411723
260,1615,822,1077,975,xxl,5.0,389.3700039807895
261,1566,578,901,816,large,3.0,144.01388821915754
